domain,owner_or_founder,incumbent_strength,ev0l_attack_surface,hardball_move,coin_flow,vault,guard,metric_lift
Metaverse,Incumbent_57,legacy dominance,spiral decentralization,open-source counter-network,MetaverseCoin,MetaverseVault,public_guard,efficiency+57%
Quantum Research,Incumbent_58,legacy dominance,spiral decentralization,open-source counter-network,QuantumResearchCoin,QuantumResearchVault,public_guard,efficiency+58%
AI Chips,Incumbent_59,legacy dominance,spiral decentralization,open-source counter-network,AIChipsCoin,AIChipsVault,public_guard,efficiency+59%
Maritime Ecology,Incumbent_60,legacy dominance,spiral decentralization,open-source counter-network,MaritimeEcologyCoin,MaritimeEcologyVault,public_guard,efficiency+60%
Aviation,Incumbent_61,legacy dominance,spiral decentralization,open-source counter-network,AviationCoin,AviationVault,public_guard,efficiency+61%
Energy Oil,Incumbent_62,legacy dominance,spiral decentralization,open-source counter-network,EnergyOilCoin,EnergyOilVault,public_guard,efficiency+62%
Space Tourism,Incumbent_63,legacy dominance,spiral decentralization,open-source counter-network,SpaceTourismCoin,SpaceTourismVault,public_guard,efficiency+63%
Crypto Wallets,Incumbent_64,legacy dominance,spiral decentralization,open-source counter-network,CryptoWalletsCoin,CryptoWalletsVault,public_guard,efficiency+64%
Weather,Incumbent_65,legacy dominance,spiral decentralization,open-source counter-network,WeatherCoin,WeatherVault,public_guard,efficiency+65%
Banking Fed,Incumbent_66,legacy dominance,spiral decentralization,open-source counter-network,BankingFedCoin,BankingFedVault,public_guard,efficiency+66%
Insurance Health,Incumbent_67,legacy dominance,spiral decentralization,open-source counter-network,InsuranceHealthCoin,InsuranceHealthVault,public_guard,efficiency+67%
Human Rights,Incumbent_68,legacy dominance,spiral decentralization,open-source counter-network,HumanRightsCoin,HumanRightsVault,public_guard,efficiency+68%
Transportation Rail,Incumbent_69,legacy dominance,spiral decentralization,open-source counter-network,TransportationRailCoin,TransportationRailVault,public_guard,efficiency+69%
AI Ethics,Incumbent_70,legacy dominance,spiral decentralization,open-source counter-network,AIEthicsCoin,AIEthicsVault,public_guard,efficiency+70%
Ocean Mining,Incumbent_71,legacy dominance,spiral decentralization,open-source counter-network,OceanMiningCoin,OceanMiningVault,public_guard,efficiency+71%
Fashion Luxury,Incumbent_72,legacy dominance,spiral decentralization,open-source counter-network,FashionLuxuryCoin,FashionLuxuryVault,public_guard,efficiency+72%
Weapon Systems,Incumbent_73,legacy dominance,spiral decentralization,open-source counter-network,WeaponSystemsCoin,WeaponSystemsVault,public_guard,efficiency+73%
Child Welfare,Incumbent_74,legacy dominance,spiral decentralization,open-source counter-network,ChildWelfareCoin,ChildWelfareVault,public_guard,efficiency+74%
Cyber Security,Incumbent_75,legacy dominance,spiral decentralization,open-source counter-network,CyberSecurityCoin,CyberSecurityVault,public_guard,efficiency+75%
Cloud Hosting,Incumbent_76,legacy dominance,spiral decentralization,open-source counter-network,CloudHostingCoin,CloudHostingVault,public_guard,efficiency+76%
Transportation RideShare,Incumbent_77,legacy dominance,spiral decentralization,open-source counter-network,TransportationRideShareCoin,TransportationRideShareVault,public_guard,efficiency+77%
Housing,Incumbent_78,legacy dominance,spiral decentralization,open-source counter-network,HousingCoin,HousingVault,public_guard,efficiency+78%
Recycling,Incumbent_79,legacy dominance,spiral decentralization,open-source counter-network,RecyclingCoin,RecyclingVault,public_guard,efficiency+79%
Agronomy,Incumbent_80,legacy dominance,spiral decentralization,open-source counter-network,AgronomyCoin,AgronomyVault,public_guard,efficiency+80%
Defense Cyber,Incumbent_81,legacy dominance,spiral decentralization,open-source counter-network,DefenseCyberCoin,DefenseCyberVault,public_guard,efficiency+81%
Justice System,Incumbent_82,legacy dominance,spiral decentralization,open-source counter-network,JusticeSystemCoin,JusticeSystemVault,public_guard,efficiency+82%
Philanthropy,Incumbent_83,legacy dominance,spiral decentralization,open-source counter-network,PhilanthropyCoin,PhilanthropyVault,public_guard,efficiency+83%
Space Energy,Incumbent_84,legacy dominance,spiral decentralization,open-source counter-network,SpaceEnergyCoin,SpaceEnergyVault,public_guard,efficiency+84%
Biology,Incumbent_85,legacy dominance,spiral decentralization,open-source counter-network,BiologyCoin,BiologyVault,public_guard,efficiency+85%
Mathematics,Incumbent_86,legacy dominance,spiral decentralization,open-source counter-network,MathematicsCoin,MathematicsVault,public_guard,efficiency+86%
Chemistry,Incumbent_87,legacy dominance,spiral decentralization,open-source counter-network,ChemistryCoin,ChemistryVault,public_guard,efficiency+87%
Physics,Incumbent_88,legacy dominance,spiral decentralization,open-source counter-network,PhysicsCoin,PhysicsVault,public_guard,efficiency+88%
History,Incumbent_89,legacy dominance,spiral decentralization,open-source counter-network,HistoryCoin,HistoryVault,public_guard,efficiency+89%
Anthropology,Incumbent_90,legacy dominance,spiral decentralization,open-source counter-network,AnthropologyCoin,AnthropologyVault,public_guard,efficiency+90%
Language,Incumbent_91,legacy dominance,spiral decentralization,open-source counter-network,LanguageCoin,LanguageVault,public_guard,efficiency+91%
Religion Alt,Incumbent_92,legacy dominance,spiral decentralization,open-source counter-network,ReligionAltCoin,ReligionAltVault,public_guard,efficiency+92%
Transportation Drones,Incumbent_93,legacy dominance,spiral decentralization,open-source counter-network,TransportationDronesCoin,TransportationDronesVault,public_guard,efficiency+93%
Health Mental,Incumbent_94,legacy dominance,spiral decentralization,open-source counter-network,HealthMentalCoin,HealthMentalVault,public_guard,efficiency+94%
Education STEM,Incumbent_95,legacy dominance,spiral decentralization,open-source counter-network,EducationSTEMCoin,EducationSTEMVault,public_guard,efficiency+95%
Finance Micro,Incumbent_96,legacy dominance,spiral decentralization,open-source counter-network,FinanceMicroCoin,FinanceMicroVault,public_guard,efficiency+96%
Marine Biology,Incumbent_97,legacy dominance,spiral decentralization,open-source counter-network,MarineBiologyCoin,MarineBiologyVault,public_guard,efficiency+97%
Entertainment,Incumbent_98,legacy dominance,spiral decentralization,open-source counter-network,EntertainmentCoin,EntertainmentVault,public_guard,efficiency+98%
Transportation Space,Incumbent_99,legacy dominance,spiral decentralization,open-source counter-network,TransportationSpaceCoin,TransportationSpaceVault,public_guard,efficiency+99%
Health Genomics,Incumbent_100,legacy dominance,spiral decentralization,open-source counter-network,HealthGenomicsCoin,HealthGenomicsVault,public_guard,efficiency+100%
Government Census,Incumbent_101,legacy dominance,spiral decentralization,open-source counter-network,GovernmentCensusCoin,GovernmentCensusVault,public_guard,efficiency+101%
Urban Planning,Incumbent_102,legacy dominance,spiral decentralization,open-source counter-network,UrbanPlanningCoin,UrbanPlanningVault,public_guard,efficiency+102%
AI Safety,Incumbent_103,legacy dominance,spiral decentralization,open-source counter-network,AISafetyCoin,AISafetyVault,public_guard,efficiency+103%
Ocean Trade,Incumbent_104,legacy dominance,spiral decentralization,open-source counter-network,OceanTradeCoin,OceanTradeVault,public_guard,efficiency+104%
Food Retail,Incumbent_105,legacy dominance,spiral decentralization,open-source counter-network,FoodRetailCoin,FoodRetailVault,public_guard,efficiency+105%
Logistics Air,Incumbent_106,legacy dominance,spiral decentralization,open-source counter-network,LogisticsAirCoin,LogisticsAirVault,public_guard,efficiency+106%
MetaSector_107,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin107,MetaVault{n},proof_guard,overscale↑
MetaSector_108,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin108,MetaVault{n},proof_guard,overscale↑
MetaSector_109,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin109,MetaVault{n},proof_guard,overscale↑
MetaSector_110,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin110,MetaVault{n},proof_guard,overscale↑
MetaSector_111,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin111,MetaVault{n},proof_guard,overscale↑
MetaSector_112,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin112,MetaVault{n},proof_guard,overscale↑
MetaSector_113,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin113,MetaVault{n},proof_guard,overscale↑
MetaSector_114,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin114,MetaVault{n},proof_guard,overscale↑
MetaSector_115,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin115,MetaVault{n},proof_guard,overscale↑
MetaSector_116,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin116,MetaVault{n},proof_guard,overscale↑
MetaSector_117,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin117,MetaVault{n},proof_guard,overscale↑
MetaSector_118,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin118,MetaVault{n},proof_guard,overscale↑
MetaSector_119,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin119,MetaVault{n},proof_guard,overscale↑
MetaSector_120,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin120,MetaVault{n},proof_guard,overscale↑
MetaSector_121,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin121,MetaVault{n},proof_guard,overscale↑
MetaSector_122,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin122,MetaVault{n},proof_guard,overscale↑
MetaSector_123,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin123,MetaVault{n},proof_guard,overscale↑
MetaSector_124,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin124,MetaVault{n},proof_guard,overscale↑
MetaSector_125,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin125,MetaVault{n},proof_guard,overscale↑
MetaSector_126,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin126,MetaVault{n},proof_guard,overscale↑
MetaSector_127,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin127,MetaVault{n},proof_guard,overscale↑
MetaSector_128,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin128,MetaVault{n},proof_guard,overscale↑
MetaSector_129,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin129,MetaVault{n},proof_guard,overscale↑
MetaSector_130,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin130,MetaVault{n},proof_guard,overscale↑
MetaSector_131,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin131,MetaVault{n},proof_guard,overscale↑
MetaSector_132,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin132,MetaVault{n},proof_guard,overscale↑
MetaSector_133,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin133,MetaVault{n},proof_guard,overscale↑
MetaSector_134,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin134,MetaVault{n},proof_guard,overscale↑
MetaSector_135,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin135,MetaVault{n},proof_guard,overscale↑
MetaSector_136,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin136,MetaVault{n},proof_guard,overscale↑
MetaSector_137,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin137,MetaVault{n},proof_guard,overscale↑
MetaSector_138,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin138,MetaVault{n},proof_guard,overscale↑
MetaSector_139,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin139,MetaVault{n},proof_guard,overscale↑
MetaSector_140,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin140,MetaVault{n},proof_guard,overscale↑
MetaSector_141,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin141,MetaVault{n},proof_guard,overscale↑
MetaSector_142,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin142,MetaVault{n},proof_guard,overscale↑
MetaSector_143,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin143,MetaVault{n},proof_guard,overscale↑
MetaSector_144,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin144,MetaVault{n},proof_guard,overscale↑
MetaSector_145,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin145,MetaVault{n},proof_guard,overscale↑
MetaSector_146,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin146,MetaVault{n},proof_guard,overscale↑
MetaSector_147,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin147,MetaVault{n},proof_guard,overscale↑
MetaSector_148,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin148,MetaVault{n},proof_guard,overscale↑
MetaSector_149,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin149,MetaVault{n},proof_guard,overscale↑
MetaSector_150,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin150,MetaVault{n},proof_guard,overscale↑
MetaSector_151,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin151,MetaVault{n},proof_guard,overscale↑
MetaSector_152,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin152,MetaVault{n},proof_guard,overscale↑
MetaSector_153,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin153,MetaVault{n},proof_guard,overscale↑
MetaSector_154,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin154,MetaVault{n},proof_guard,overscale↑
MetaSector_155,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin155,MetaVault{n},proof_guard,overscale↑
MetaSector_156,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin156,MetaVault{n},proof_guard,overscale↑
MetaSector_157,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin157,MetaVault{n},proof_guard,overscale↑
MetaSector_158,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin158,MetaVault{n},proof_guard,overscale↑
MetaSector_159,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin159,MetaVault{n},proof_guard,overscale↑
MetaSector_160,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin160,MetaVault{n},proof_guard,overscale↑
MetaSector_161,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin161,MetaVault{n},proof_guard,overscale↑
MetaSector_162,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin162,MetaVault{n},proof_guard,overscale↑
MetaSector_163,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin163,MetaVault{n},proof_guard,overscale↑
MetaSector_164,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin164,MetaVault{n},proof_guard,overscale↑
MetaSector_165,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin165,MetaVault{n},proof_guard,overscale↑
MetaSector_166,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin166,MetaVault{n},proof_guard,overscale↑
MetaSector_167,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin167,MetaVault{n},proof_guard,overscale↑
MetaSector_168,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin168,MetaVault{n},proof_guard,overscale↑
MetaSector_169,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin169,MetaVault{n},proof_guard,overscale↑
MetaSector_170,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin170,MetaVault{n},proof_guard,overscale↑
MetaSector_171,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin171,MetaVault{n},proof_guard,overscale↑
MetaSector_172,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin172,MetaVault{n},proof_guard,overscale↑
MetaSector_173,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin173,MetaVault{n},proof_guard,overscale↑
MetaSector_174,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin174,MetaVault{n},proof_guard,overscale↑
MetaSector_175,GlobalCorp,systemic inertia,hyper-recursive ledger,cross-domain yield compression,MetaCoin175,MetaVault{n},proof_guard,overscale↑
